vehicle_id,model,chemistry,capacity_kwh,cycle_number,odometer_km,avg_temperature_c,max_temperature_c,fast_charge_ratio,depth_of_discharge,c_rate,internal_resistance_mohm,cell_voltage_variance,cumulative_kwh_throughput,state_of_health,remaining_useful_life_cycles,is_anomaly
EV-108,Ford F-150 Lightning,NMC 622,131.0,158,6096,33.75,43.14,0.496,0.546,1.48,1.529,0.0116,20915.7,96.31,1126,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,159,6989,28.17,40.83,0.404,0.527,1.34,1.53,0.0105,20313.0,96.29,1127,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,160,6519,35.73,44.37,0.49,0.529,1.47,1.531,0.0116,20500.0,96.27,1125,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,161,7078,27.44,35.83,0.449,0.578,1.41,1.531,0.0111,22555.3,96.25,1125,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,162,6419,33.56,40.17,0.36,0.62,1.28,1.532,0.01,24357.3,96.22,1124,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,163,6821,31.09,37.05,0.413,0.543,1.36,1.533,0.0107,21465.7,96.2,1124,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,164,6690,37.42,49.75,0.464,0.527,1.43,1.934,0.0113,20943.6,96.17,1122,1
EV-108,Ford F-150 Lightning,NMC 622,131.0,165,6501,36.52,42.34,0.497,0.501,1.48,1.535,0.0117,20022.5,96.15,1120,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,166,6955,29.99,38.85,0.358,0.581,1.28,1.535,0.01,23364.6,96.13,1120,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,167,7268,33.49,46.85,0.507,0.553,1.5,1.936,0.0118,22366.4,96.11,1119,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,168,7389,36.59,49.5,0.523,0.473,1.52,1.937,0.012,19237.8,96.08,1118,1
EV-108,Ford F-150 Lightning,NMC 622,131.0,169,6752,32.24,43.22,0.492,0.573,1.48,1.538,0.0117,23482.8,96.06,1117,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,170,6948,34.82,42.74,0.449,0.547,1.41,1.539,0.0112,22548.7,96.04,1116,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,171,7117,28.26,38.8,0.375,0.526,1.3,1.539,0.0103,21778.3,96.02,1117,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,172,7306,34.77,44.64,0.396,0.558,1.33,1.54,0.0106,23253.4,95.99,1116,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,173,7587,28.03,38.47,0.399,0.552,1.34,1.541,0.0106,23128.6,95.97,1116,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,174,7483,32.99,43.98,0.404,0.542,1.34,1.542,0.0107,22866.6,95.95,1116,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,175,6936,33.25,44.31,0.472,0.519,1.45,1.542,0.0115,21994.8,95.93,1116,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,176,7368,28.36,51.47,0.421,0.577,1.37,1.944,0.0359,24611.9,95.88,1106,1
EV-108,Ford F-150 Lightning,NMC 622,131.0,177,7710,35.4,47.05,0.456,0.537,1.42,1.945,0.0113,23022.1,95.86,1104,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,178,6963,31.61,35.65,0.357,0.515,1.27,1.546,0.0102,22227.7,95.84,1105,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,179,7506,36.82,45.7,0.494,0.588,1.48,1.947,0.0118,25495.2,95.81,1102,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,180,6854,31.97,44.86,0.463,0.566,1.43,1.547,0.0115,24678.7,95.79,1101,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,181,7853,35.43,41.95,0.464,0.507,1.43,1.548,0.0115,22238.5,95.76,1100,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,182,7314,35.92,49.13,0.453,0.534,1.42,1.949,0.0114,23537.3,95.74,1099,1
EV-108,Ford F-150 Lightning,NMC 622,131.0,183,7121,36.91,47.76,0.408,0.547,1.35,1.95,0.0108,24256.7,95.71,1097,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,184,7342,32.71,44.05,0.42,0.556,1.37,1.551,0.011,24786.5,95.69,1097,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,185,7371,30.61,40.18,0.442,0.575,1.4,1.552,0.0113,25802.0,95.67,1096,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,186,7427,32.79,41.62,0.492,0.567,1.48,1.552,0.0119,25570.7,95.65,1095,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,187,7740,34.47,45.57,0.384,0.512,1.31,1.953,0.0106,23187.7,95.63,1095,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,188,7815,31.45,41.6,0.406,0.548,1.35,1.554,0.0108,24965.1,95.61,1096,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,189,7221,38.63,43.24,0.474,0.53,1.45,1.555,0.0117,24293.0,95.58,1092,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,190,7753,40.62,49.2,0.435,0.545,1.39,1.956,0.0112,25106.1,95.54,1088,1
EV-108,Ford F-150 Lightning,NMC 622,131.0,191,7530,27.84,35.43,0.457,0.525,1.42,1.557,0.0115,24294.4,95.52,1088,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,192,8078,32.79,45.46,0.439,0.552,1.4,1.957,0.0113,25681.2,95.5,1088,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,193,7674,32.82,45.0,0.369,0.505,1.29,1.558,0.0105,23625.1,95.48,1088,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,194,7435,34.17,45.58,0.461,0.575,1.43,1.959,0.0116,27035.0,95.46,1087,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,195,7506,37.59,42.28,0.479,0.559,1.46,1.56,0.0118,26428.4,95.43,1084,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,196,8297,29.4,39.54,0.455,0.593,1.42,1.561,0.0115,28176.8,95.41,1083,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,197,8298,34.35,39.12,0.463,0.553,1.43,1.562,0.0116,26414.4,95.38,1082,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,198,8008,25.82,33.72,0.369,0.543,1.29,1.562,0.0105,26038.5,95.36,1082,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,199,8570,38.15,51.53,0.5,0.512,1.49,1.963,0.0121,24698.3,95.33,1080,1
EV-108,Ford F-150 Lightning,NMC 622,131.0,200,8672,28.71,35.63,0.408,0.583,1.35,1.564,0.011,28252.1,95.31,1079,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,201,8089,38.36,43.23,0.434,0.535,1.39,1.565,0.0113,26044.2,95.28,1077,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,202,8642,37.55,46.9,0.554,0.52,1.57,1.966,0.0128,25453.1,95.25,1074,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,203,8512,38.44,47.59,0.419,0.55,1.37,1.967,0.0112,27060.2,95.22,1071,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,204,8260,36.22,45.56,0.461,0.535,1.43,1.968,0.0117,26442.1,95.2,1069,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,205,8614,32.12,43.56,0.374,0.537,1.3,1.569,0.0107,26663.7,95.18,1070,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,206,8259,26.57,31.59,0.375,0.564,1.3,1.569,0.0107,28167.9,95.16,1070,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,207,8131,35.82,42.01,0.434,0.545,1.39,1.57,0.0114,27321.7,95.13,1068,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,208,8994,26.59,32.13,0.394,0.52,1.33,1.571,0.0109,26194.7,95.12,1069,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,209,8663,33.86,39.82,0.447,0.573,1.41,1.572,0.0116,29023.1,95.09,1068,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,210,8240,36.4,49.82,0.542,0.529,1.55,1.973,0.0127,26907.3,95.06,1066,1
EV-108,Ford F-150 Lightning,NMC 622,131.0,211,8520,34.05,40.93,0.477,0.514,1.45,1.574,0.012,26261.6,95.04,1065,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,212,8220,36.82,41.96,0.495,0.591,1.48,1.575,0.0122,30358.6,95.01,1062,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,213,9329,35.97,41.99,0.502,0.557,1.49,1.576,0.0123,28763.0,94.98,1060,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,214,9006,31.48,43.32,0.503,0.555,1.49,1.576,0.0123,28782.5,94.96,1059,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,215,8625,37.95,49.31,0.405,0.605,1.35,1.978,0.0111,31516.1,94.93,1056,1
EV-108,Ford F-150 Lightning,NMC 622,131.0,216,8762,38.47,52.47,0.419,0.565,1.37,1.979,0.0113,29598.4,94.9,1053,1
EV-108,Ford F-150 Lightning,NMC 622,131.0,217,8667,34.79,46.1,0.46,0.555,1.43,1.98,0.0118,29161.2,94.87,1052,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,218,8816,30.22,43.99,0.486,0.551,1.47,1.58,0.0122,29113.7,94.85,1051,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,219,9310,30.54,35.5,0.317,0.545,1.21,1.581,0.0101,28901.6,94.83,1052,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,220,9428,30.92,37.41,0.321,0.503,1.22,1.581,0.0102,26839.6,94.82,1053,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,221,8712,35.12,40.55,0.467,0.528,1.44,1.582,0.012,28298.6,94.79,1052,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,222,8762,30.06,38.01,0.402,0.566,1.34,1.583,0.0112,30444.8,94.77,1052,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,223,8980,31.01,36.11,0.481,0.498,1.46,1.584,0.0121,26938.0,94.75,1052,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,224,9340,32.33,42.52,0.485,0.56,1.47,1.584,0.0122,30391.8,94.73,1051,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,225,9647,35.14,47.33,0.441,0.513,1.4,1.985,0.0117,27962.4,94.71,1051,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,226,9618,32.97,53.21,0.476,0.492,1.45,1.987,0.0371,26959.3,94.66,1044,1
EV-108,Ford F-150 Lightning,NMC 622,131.0,227,8941,35.64,48.94,0.468,0.565,1.44,1.988,0.012,31084.6,94.64,1042,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,228,9631,32.79,41.99,0.455,0.602,1.42,1.589,0.0119,33256.9,94.61,1041,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,229,9264,40.14,47.13,0.416,0.541,1.36,1.99,0.0114,29997.1,94.58,1038,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,230,10041,32.46,41.96,0.343,0.495,1.25,1.59,0.0106,27596.0,94.56,1039,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,231,9841,30.66,38.67,0.412,0.583,1.36,1.591,0.0114,32631.8,94.54,1038,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,232,9907,31.12,37.29,0.437,0.523,1.39,1.592,0.0117,29420.8,94.52,1039,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,233,9213,36.27,45.33,0.514,0.537,1.51,1.993,0.0126,30312.8,94.5,1037,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,234,9828,27.11,38.24,0.4,0.579,1.34,1.593,0.0113,32847.2,94.48,1036,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,235,9064,32.0,42.41,0.367,0.588,1.29,1.594,0.0109,33498.5,94.46,1036,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,236,10153,31.7,39.54,0.436,0.527,1.39,1.595,0.0117,30113.9,94.44,1036,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,237,9158,36.48,41.65,0.485,0.506,1.47,1.596,0.0123,29073.8,94.41,1035,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,238,9401,35.0,45.16,0.461,0.489,1.43,1.996,0.0121,28214.7,94.39,1035,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,239,10486,31.92,38.19,0.382,0.52,1.31,1.597,0.0111,30091.4,94.37,1035,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,240,10103,32.85,46.82,0.472,0.55,1.45,1.998,0.0122,31981.3,94.35,1034,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,241,9520,29.09,39.55,0.443,0.524,1.4,1.598,0.0119,30601.9,94.33,1034,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,242,9501,28.42,40.53,0.378,0.505,1.31,1.599,0.0111,29590.5,94.32,1035,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,243,9954,32.32,37.64,0.429,0.569,1.38,1.6,0.0117,33512.9,94.3,1035,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,244,10474,27.18,32.3,0.464,0.493,1.44,1.6,0.0121,29143.2,94.28,1035,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,245,10204,33.67,38.81,0.358,0.534,1.28,1.601,0.0109,31714.0,94.26,1035,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,246,9631,36.38,49.73,0.396,0.586,1.33,2.002,0.0114,34925.6,94.23,1033,1
EV-108,Ford F-150 Lightning,NMC 622,131.0,247,9827,38.1,42.94,0.488,0.553,1.47,1.603,0.0125,33124.2,94.2,1030,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,248,9613,32.91,39.9,0.358,0.555,1.28,1.604,0.0109,33357.4,94.18,1030,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,249,10868,37.27,50.29,0.424,0.552,1.37,2.005,0.0117,33287.5,94.15,1028,1
EV-108,Ford F-150 Lightning,NMC 622,131.0,250,10383,32.93,40.59,0.448,0.571,1.41,1.605,0.012,34580.8,94.13,1027,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,251,9804,35.92,41.42,0.462,0.57,1.43,1.606,0.0122,34697.5,94.1,1025,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,252,10269,32.27,39.18,0.391,0.556,1.33,1.607,0.0114,33979.4,94.08,1025,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,253,10506,32.25,37.1,0.453,0.543,1.42,1.608,0.0121,33273.8,94.06,1025,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,254,10467,29.81,34.16,0.46,0.495,1.43,1.608,0.0122,30454.1,94.04,1025,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,255,10031,32.46,46.87,0.38,0.569,1.31,2.01,0.0363,35193.3,93.99,1018,1
EV-108,Ford F-150 Lightning,NMC 622,131.0,256,10784,30.58,42.08,0.439,0.527,1.4,1.611,0.012,32700.8,93.98,1018,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,257,10537,26.56,39.9,0.411,0.548,1.36,1.612,0.0117,34129.0,93.96,1018,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,258,9867,31.49,42.29,0.452,0.575,1.42,1.612,0.0122,35981.8,93.93,1018,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,259,10185,30.98,37.31,0.362,0.537,1.28,1.613,0.0111,33676.5,93.92,1018,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,260,11111,31.3,44.63,0.423,0.535,1.37,1.614,0.0118,33700.0,93.9,1018,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,261,11137,31.22,40.97,0.401,0.497,1.34,1.614,0.0116,31425.5,93.88,1018,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,262,10017,33.22,40.51,0.417,0.498,1.36,1.615,0.0118,31618.9,93.86,1018,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,263,10043,32.47,36.73,0.438,0.565,1.4,1.616,0.012,36004.6,93.84,1018,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,264,10965,34.41,42.77,0.384,0.53,1.31,1.616,0.0114,33895.5,93.82,1017,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,265,11149,31.35,40.81,0.421,0.53,1.37,1.617,0.0118,34034.8,93.8,1017,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,266,11320,30.67,36.18,0.517,0.541,1.51,1.618,0.013,34898.9,93.78,1017,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,267,11413,29.18,33.77,0.382,0.631,1.31,1.618,0.0114,40805.1,93.76,1016,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,268,10796,29.03,38.48,0.358,0.558,1.28,1.619,0.0111,36241.1,93.74,1016,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,269,11047,35.38,39.43,0.509,0.561,1.5,1.62,0.0129,36582.2,93.71,1014,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,270,11325,37.72,43.5,0.478,0.556,1.46,1.621,0.0126,36387.8,93.68,1012,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,271,10817,39.98,47.3,0.433,0.554,1.39,2.022,0.012,36414.4,93.65,1008,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,272,11866,29.05,42.7,0.45,0.593,1.41,1.623,0.0123,39082.7,93.62,1007,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,273,11856,34.05,45.22,0.517,0.543,1.51,2.024,0.0131,35953.1,93.6,1006,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,274,10485,31.08,40.3,0.415,0.542,1.36,1.625,0.0119,35988.9,93.58,1006,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,275,11348,28.66,42.56,0.436,0.511,1.39,1.625,0.0121,34057.2,93.56,1006,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,276,11651,34.25,46.34,0.535,0.54,1.54,2.026,0.0133,36102.5,93.54,1005,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,277,10875,35.5,48.26,0.39,0.517,1.32,2.027,0.0116,34723.7,93.52,1005,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,278,11538,34.32,42.14,0.427,0.574,1.38,1.628,0.0121,38691.7,93.49,1003,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,279,12046,33.77,46.72,0.519,0.516,1.52,2.028,0.0132,34915.0,93.47,1003,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,280,11689,38.89,50.47,0.507,0.502,1.5,2.03,0.013,34053.7,93.44,1000,1
EV-108,Ford F-150 Lightning,NMC 622,131.0,281,12358,35.21,46.83,0.458,0.562,1.43,2.03,0.0125,38258.7,93.42,999,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,282,10806,30.61,35.82,0.419,0.541,1.37,1.631,0.012,36985.1,93.4,999,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,283,10861,34.01,40.04,0.422,0.528,1.37,1.632,0.012,36228.8,93.38,998,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,284,12118,33.53,40.18,0.464,0.494,1.43,1.632,0.0126,34011.4,93.36,998,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,285,12524,31.41,37.89,0.445,0.546,1.41,1.633,0.0123,37696.6,93.34,998,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,286,11350,37.08,47.54,0.471,0.558,1.45,2.034,0.0127,38650.5,93.31,996,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,287,12593,36.19,44.12,0.449,0.592,1.41,1.635,0.0124,41205.1,93.28,994,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,288,11880,35.63,46.08,0.316,0.539,1.21,2.036,0.0108,37593.9,93.26,993,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,289,11256,27.45,39.44,0.434,0.533,1.39,1.637,0.0123,37324.1,93.24,993,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,290,12464,32.21,39.18,0.369,0.527,1.29,1.637,0.0115,37046.0,93.22,993,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,291,11980,36.17,43.94,0.464,0.51,1.43,1.638,0.0126,35938.0,93.2,992,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,292,12686,33.07,44.54,0.425,0.569,1.38,1.639,0.0122,40258.6,93.18,991,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,293,11331,31.46,41.87,0.482,0.464,1.46,1.639,0.0129,32930.2,93.16,991,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,294,11797,29.92,41.77,0.371,0.536,1.29,1.64,0.0115,38221.7,93.14,991,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,295,11988,38.82,45.8,0.436,0.602,1.39,2.041,0.0123,43058.4,93.1,988,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,296,12328,31.07,40.5,0.418,0.537,1.37,1.642,0.0121,38542.0,93.09,988,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,297,13046,27.67,40.01,0.407,0.503,1.35,1.643,0.012,36239.7,93.07,988,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,298,13107,35.26,47.77,0.537,0.519,1.54,2.043,0.0136,37477.7,93.04,987,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,299,11644,28.4,36.9,0.417,0.56,1.36,1.644,0.0121,40585.6,93.02,986,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,300,12607,33.87,40.99,0.352,0.531,1.27,1.645,0.0114,38595.6,93.0,986,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,301,12572,39.13,43.59,0.397,0.567,1.33,1.646,0.0119,41374.6,92.97,983,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,302,12886,32.94,43.25,0.439,0.549,1.4,1.647,0.0124,40146.8,92.95,983,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,303,11651,35.89,49.64,0.444,0.521,1.41,2.048,0.0125,38253.9,92.93,982,1
EV-108,Ford F-150 Lightning,NMC 622,131.0,304,12459,30.32,44.0,0.431,0.552,1.39,1.648,0.0124,40696.9,92.91,981,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,305,12901,32.17,42.62,0.502,0.488,1.49,1.649,0.0132,36073.4,92.89,981,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,306,11891,34.05,38.51,0.42,0.571,1.37,1.65,0.0123,42359.9,92.87,980,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,307,12182,33.39,37.77,0.337,0.533,1.24,1.65,0.0113,39639.0,92.85,980,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,308,12263,39.0,48.01,0.461,0.595,1.43,2.052,0.0128,44433.1,92.81,977,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,309,12988,29.28,37.68,0.422,0.549,1.37,1.652,0.0123,41097.8,92.79,977,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,310,11876,30.68,35.65,0.427,0.546,1.38,1.653,0.0124,40997.1,92.77,976,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,311,12936,37.78,49.65,0.351,0.529,1.27,2.054,0.0115,39841.0,92.75,975,1
EV-108,Ford F-150 Lightning,NMC 622,131.0,312,12570,34.33,45.15,0.466,0.524,1.44,2.055,0.0129,39650.9,92.72,974,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,313,12216,34.49,44.78,0.466,0.551,1.44,1.655,0.0129,41800.7,92.7,973,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,314,13454,35.19,42.11,0.447,0.499,1.41,1.656,0.0127,37956.6,92.68,972,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,315,13146,32.61,43.08,0.384,0.503,1.31,1.657,0.0119,38412.1,92.66,972,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,316,12455,34.3,40.89,0.388,0.525,1.32,1.658,0.012,40194.0,92.64,972,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,317,13246,36.65,47.21,0.457,0.543,1.42,2.058,0.0128,41715.9,92.62,970,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,318,12787,36.36,43.3,0.36,0.509,1.28,1.659,0.0117,39244.4,92.59,969,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,319,12588,31.21,44.36,0.527,0.597,1.53,1.66,0.0137,46167.4,92.57,968,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,320,13857,38.67,45.1,0.439,0.501,1.4,2.061,0.0126,38839.8,92.54,967,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,321,12210,33.94,40.29,0.414,0.55,1.36,1.662,0.0123,42795.9,92.52,966,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,322,13485,35.44,46.9,0.455,0.547,1.42,2.063,0.0128,42722.3,92.49,965,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,323,13017,33.64,41.14,0.382,0.541,1.31,1.663,0.012,42348.3,92.47,964,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,324,13405,35.18,42.78,0.48,0.568,1.46,1.664,0.0132,44610.4,92.45,963,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,325,13487,34.24,48.07,0.332,0.543,1.24,2.065,0.0114,42800.7,92.43,962,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,326,12420,30.37,42.95,0.488,0.53,1.47,1.666,0.0133,41865.4,92.41,962,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,327,12537,29.9,36.44,0.4,0.591,1.34,1.666,0.0122,46836.8,92.39,961,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,328,12768,29.79,34.67,0.513,0.558,1.51,1.667,0.0136,44362.8,92.37,960,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,329,13686,27.53,41.01,0.35,0.626,1.26,1.668,0.0116,49911.2,92.34,960,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,330,13223,34.01,38.41,0.526,0.628,1.53,1.669,0.0138,50232.8,92.31,958,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,331,13536,29.42,35.15,0.456,0.571,1.42,1.67,0.0129,45800.0,92.29,957,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,332,14367,38.11,46.42,0.461,0.542,1.43,2.071,0.013,43583.4,92.26,955,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,333,14452,35.18,41.18,0.457,0.535,1.42,1.672,0.013,43195.7,92.24,954,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,334,14629,37.39,47.03,0.495,0.503,1.48,2.073,0.0134,40721.7,92.21,952,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,335,13248,36.42,43.87,0.475,0.587,1.45,1.674,0.0132,47672.0,92.18,950,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,336,13662,40.27,46.96,0.48,0.514,1.46,2.075,0.0133,41822.2,92.15,947,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,337,13331,36.19,47.35,0.45,0.495,1.41,2.076,0.0129,40421.5,92.13,946,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,338,13644,37.72,48.55,0.49,0.505,1.47,2.077,0.0134,41341.0,92.1,945,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,339,14789,33.03,43.96,0.491,0.523,1.48,1.677,0.0135,42942.0,92.08,944,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,340,12964,33.44,45.91,0.452,0.55,1.42,2.078,0.013,45324.1,92.06,944,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,341,14672,36.79,47.53,0.48,0.518,1.46,2.079,0.0134,42838.4,92.03,942,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,342,13698,30.33,41.62,0.465,0.516,1.44,1.68,0.0132,42806.9,92.01,942,0
EV-108,Ford F-150 Lightning,NMC 622,131.0,343,13402,35.42,43.2,0.435,0.492,1.39,1.68,0.0128,40874.5,91.99,941,0
